edad,hombres,mujeres,total
0,361692,344120,705812
1,367778,349820,717598
2,373403,355095,728498
3,378184,359598,737782
4,382832,364005,746837
5,388123,369017,757140
6,394931,375314,770245
7,397171,377348,774519
8,403294,382468,785762
9,406887,387846,794733
10,411009,391334,802343
11,415258,394937,810195
12,418729,399072,817801
13,422439,403227,825666
14,426276,407508,833784
15,430904,411287,842191
16,435612,415437,851049
17,440374,420179,860553
18,445339,425709,871048
19,450857,431733,882590
20,451533,432780,884313
21,451874,433811,885685
22,451309,435600,886909
23,451075,438206,889281
24,451535,441459,892994
25,453406,445156,898562
26,449874,447614,897488
27,446487,448993,895480
28,443378,449462,892840
29,441337,445852,887189
30,439939,443403,883342
31,438178,441319,879497
32,433088,436840,869928
33,423685,429421,853106
34,412699,419747,832446
35,401645,409233,810878
36,390442,399172,789614
37,379579,388851,768430
38,367787,381063,748850
39,359488,374430,733918
40,352045,369536,721581
41,346471,364787,711258
42,342599,363093,705692
43,338368,361475,699843
44,332927,357974,690901
45,327732,352883,680615
46,319904,346337,666241
47,310425,335531,645956
48,298666,326086,624752
49,288851,315127,603978
50,277523,305951,583474
51,270335,298231,568566
52,265907,293942,559849
53,262693,290818,553511
54,260101,288737,548838
55,258476,288178,546654
56,256475,287861,544336
57,254102,284640,538742
58,249471,282817,532288
59,246116,279141,525257
60,240532,276036,516568
61,235272,270926,506198
62,228666,265401,494067
63,220766,257871,478637
64,211331,248336,459667
65,200804,238398,439202
66,189398,227978,417376
67,179130,217065,396195
68,168879,207580,376459
69,159623,197443,357066
70,149850,187720,337570
71,141285,177058,318343
72,132359,166714,299073
73,123495,156068,279563
74,114770,145860,260630
75,106325,136222,242547
76,97805,126781,224586
77,89753,117042,206795
78,81754,107568,189322
79,73755,97825,171580
80,65768,88694,154462
81,58661,79897,138558
82,52249,71880,124129
83,46800,64783,111583
84,41854,58770,100624
85,37122,53185,90307
86,32518,47520,80038
87,28138,41832,69970
88,23913,36322,60235
89,19851,31138,50989
90,16270,26371,42641
91,13323,21978,35301
92,10807,17971,28778
93,8679,14494,23173
94,6789,11591,18380
95,5235,9085,14320
96,3951,6999,10950
97,2955,5265,8220
98,2138,3875,6013
99,1498,2736,4234
100+,1956,3638,5594
