fecha,% PET,TGP,TO,TD,TS,Poblacion total (miles),PET (miles),Fuerza de trabajo (miles),Ocupados (miles),Desocupados (miles),PEI fuera fuerza trabajo (miles),Subocupados (miles)
2001-01,68.37,69.05,57.58,16.62,11.83,38378.41,26240.16,18119.76,15107.83,3011.93,8120.4,2142.8
2001-02,68.4,68.95,56.93,17.43,11.68,38419.62,26279.17,18119.2,14960.26,3158.94,8159.97,2115.83
2001-03,68.43,68.39,57.57,15.81,11.97,38456.84,26314.46,17995.91,15150.41,2845.5,8318.55,2154.63
2001-04,68.45,65.22,55.76,14.52,10.47,38498.05,26353.44,17188.77,14693.81,2494.96,9164.67,1799.06
2001-05,68.48,65.41,56.23,14.04,10.63,38538.0,26391.54,17261.68,14838.86,2422.82,9129.86,1835.55
2001-06,68.51,66.33,56.18,15.31,9.96,38579.78,26431.56,17532.97,14848.26,2684.71,8898.59,1746.76
2001-07,68.53,66.74,56.61,15.18,14.26,38637.24,26478.77,17672.76,14989.36,2683.4,8806.01,2520.85
2001-08,68.56,67.44,57.38,14.91,13.21,38679.54,26519.19,17884.08,15216.94,2667.14,8635.1,2362.08
2001-09,68.59,68.31,58.69,14.07,14.2,38721.19,26559.05,18141.85,15588.54,2553.31,8417.2,2576.34
2001-10,68.62,68.51,58.56,14.52,13.13,38761.04,26597.26,18222.39,15575.6,2646.79,8374.87,2393.34
2001-11,68.65,69.68,60.15,13.68,12.43,38801.88,26636.64,18561.49,16021.87,2539.62,8075.14,2307.51
2001-12,68.68,68.81,59.44,13.61,9.77,38841.17,26674.67,18354.4,15856.66,2497.74,8320.27,1794.13
2002-01,68.71,68.36,56.12,17.91,12.52,38881.7,26714.02,18262.38,14991.61,3270.77,8451.64,2286.55
2002-02,68.74,68.21,57.17,16.19,14.59,38922.07,26753.31,18248.8,15294.53,2954.27,8504.51,2663.4
2002-03,68.76,67.15,57.01,15.11,13.61,38958.54,26788.95,17989.85,15271.33,2718.52,8799.09,2449.05
2002-04,68.79,68.88,57.81,16.08,13.56,38998.92,26828.52,18479.7,15508.72,2970.98,8348.82,2506.29
2002-05,68.82,66.7,56.68,15.02,13.12,39038.43,26867.38,17920.49,15228.46,2692.03,8946.89,2351.13
2002-06,68.85,66.57,55.97,15.91,13.07,39079.68,26908.12,17911.48,15061.58,2849.9,8996.64,2341.39
2002-07,68.88,67.42,57.02,15.43,12.83,39130.48,26952.65,18170.35,15367.37,2802.98,8782.3,2331.49
2002-08,68.91,66.55,55.93,15.95,13.68,39172.51,26994.1,17964.26,15098.46,2865.79,9029.84,2457.5
2002-09,68.94,66.67,57.02,14.47,13.82,39214.1,27035.24,18023.54,15416.35,2607.19,9011.7,2491.49
2002-10,68.97,68.61,58.34,14.97,12.5,39254.12,27074.8,18577.21,15795.72,2781.49,8497.6,2322.99
2002-11,69.0,68.41,58.02,15.19,10.67,39295.1,27115.44,18549.9,15732.3,2817.6,8565.54,1978.68
