trimestre_movil,Total nacional,13 Ciudades y A.M.,23 Ciudades y A.M.,Bogotá D.C.,Medellín A.M.,Cali A.M.,Barranquilla A.M.,Bucaramanga A.M.,Manizales A.M.,Pasto,Pereira A.M.,Cúcuta A.M.,Ibagué,Montería,Cartagena,Villavicencio,Tunja,Florencia,Popayán,Valledupar,Quibdó,Neiva,Riohacha,Santa Marta,Armenia,Sincelejo
2021 Ene - mar,60.65,45.91,47.27,35.82,47.27,51.46,57.36,47.15,37.84,55.88,44.72,69.22,48.94,61.14,58.39,54.41,44.05,63.0,56.96,64.93,65.68,51.28,68.91,62.45,53.96,69.23
2021 Feb - abr,60.46,46.36,47.67,36.81,45.4,50.85,59.49,48.05,36.86,56.61,44.1,68.47,51.28,62.15,63.83,55.43,40.89,65.15,58.6,63.78,65.15,50.11,67.46,63.82,53.07,69.42
2021 Mar - may,59.53,45.52,46.87,36.25,43.07,49.27,59.47,47.86,37.27,54.07,42.07,69.05,48.79,61.22,65.3,55.46,38.6,62.55,57.06,64.95,66.32,47.41,69.21,64.22,52.32,70.91
2021 Abr - jun,59.23,45.25,46.6,36.95,41.1,46.86,60.27,48.08,36.18,53.74,39.65,68.93,48.78,61.1,65.82,56.76,38.06,60.27,55.17,66.04,67.57,45.65,68.73,64.68,52.38,71.18
2021 May - jul,59.13,44.54,45.95,36.32,39.21,47.71,59.95,46.14,35.84,52.47,38.86,68.76,49.94,61.1,63.82,57.26,38.04,56.3,54.82,67.35,69.24,44.54,69.22,64.48,53.71,71.33
2021 Jun - ago,59.65,44.98,46.35,36.88,39.23,48.46,60.53,46.81,33.69,54.8,40.22,69.99,53.6,62.93,61.86,56.84,38.74,59.41,56.42,67.21,70.49,46.44,69.84,62.81,52.2,70.94
2021 Jul - sep,59.24,44.5,45.97,35.83,38.77,48.26,60.63,48.69,33.86,54.83,40.93,70.61,54.17,63.33,61.1,55.01,38.27,60.61,56.9,66.91,70.39,47.23,70.36,63.42,51.88,72.52
2021 Ago - oct,59.25,44.94,46.37,36.0,40.05,49.01,60.23,49.95,34.88,55.42,41.75,71.41,52.39,64.01,61.14,54.25,39.75,59.84,55.94,67.59,71.25,48.79,70.89,63.61,49.94,72.15
2021 Sep - nov,58.6,44.31,45.82,34.48,39.76,49.3,60.69,48.61,36.03,54.1,41.39,70.53,50.57,63.92,62.65,54.21,41.61,58.96,55.59,67.82,69.09,47.19,68.81,65.22,49.89,72.97
2021 Oct - dic,58.72,44.22,45.71,34.5,39.23,48.84,60.21,48.15,35.7,55.07,41.16,71.34,49.31,64.2,62.78,54.62,42.96,61.92,57.54,66.2,68.85,47.86,68.26,65.46,47.23,69.81
2021 Nov 21 - ene 22,58.03,43.24,44.79,32.7,38.95,47.68,60.65,47.16,34.45,56.33,42.53,70.33,47.73,62.15,62.96,53.54,41.98,63.72,58.36,64.61,68.31,48.88,67.0,65.1,43.79,70.4
2021 Dic 21 - feb 22,58.36,43.13,44.68,32.99,39.07,46.5,59.09,47.81,35.74,57.96,42.98,68.51,48.93,61.87,61.94,53.86,40.82,64.11,58.18,64.15,67.0,51.41,68.33,65.18,41.11,70.12
2022 Ene - mar,58.45,43.47,44.97,33.78,40.24,48.0,58.94,45.27,34.09,57.27,44.38,66.43,50.16,62.69,59.58,53.52,40.06,62.43,55.92,65.29,64.98,52.13,67.44,64.69,42.3,72.4
2022 Feb - abr,58.79,44.18,45.63,35.12,40.24,49.23,58.73,46.19,36.4,55.14,43.35,67.64,52.32,63.59,58.77,55.09,39.4,61.78,55.79,66.37,63.05,50.42,67.94,65.93,45.03,71.94
2022 Mar - may,58.02,44.11,45.44,35.82,39.71,49.0,57.2,47.24,36.32,53.14,43.56,66.91,53.39,62.52,58.28,55.11,39.47,59.41,53.99,66.44,64.1,46.09,65.35,64.23,46.23,71.67
2022 Abr - Jun,57.74,43.97,45.27,35.32,39.98,48.59,55.2,49.02,36.99,54.99,43.99,66.49,52.31,62.31,60.53,54.07,40.2,58.89,52.06,67.06,64.73,43.76,64.79,64.6,44.94,69.83
2022 May - jul,57.8,43.86,45.13,35.61,39.98,47.24,54.55,48.41,35.1,56.64,42.83,65.61,51.17,62.1,61.95,52.63,41.09,58.88,50.44,67.65,65.09,44.12,64.78,63.1,44.35,69.17
2022 Jun - ago,57.9,43.43,44.79,34.15,39.92,46.35,56.3,47.96,34.72,58.02,41.76,66.72,49.88,63.9,62.33,51.86,43.22,59.9,53.02,67.2,63.13,46.66,68.32,63.31,43.24,68.89
2022 Jul - sep,58.03,43.67,45.01,35.27,39.23,44.93,58.12,48.49,35.68,56.58,40.9,67.83,49.14,62.93,62.63,51.89,42.34,59.68,56.51,67.01,61.68,47.27,68.31,62.82,43.17,68.32
2022 Ago - oct,57.85,43.76,45.1,35.55,38.65,45.42,59.49,49.61,36.89,55.42,40.8,66.69,49.93,63.12,61.43,51.85,41.91,58.93,57.82,67.36,59.31,46.53,68.89,64.68,41.29,67.6
2022 Sep - nov,57.99,43.53,44.98,35.47,39.04,46.41,58.82,46.78,36.57,53.49,42.76,65.44,50.5,62.8,60.03,50.32,38.75,59.58,59.79,69.17,59.99,48.92,67.99,66.46,41.79,67.06
2022 Oct - dic,57.57,42.71,44.26,33.08,39.07,47.54,59.63,45.75,37.12,53.41,42.66,63.56,50.18,63.0,56.67,52.88,39.37,60.43,59.86,69.4,59.65,49.65,67.94,66.66,41.93,66.33
2022 Nov 22 - ene 23,57.65,42.01,43.66,31.67,39.97,47.42,58.07,43.82,35.22,56.2,46.38,60.72,46.81,63.13,54.73,54.61,39.16,62.09,61.41,67.86,63.07,51.95,67.58,64.57,44.04,65.67
2022 Dic 22 - feb 23,57.82,42.55,44.05,32.71,39.99,48.36,58.46,45.09,34.19,57.71,45.58,60.57,45.21,60.97,54.28,56.26,41.61,60.24,59.59,64.74,60.97,50.97,67.05,62.85,45.43,66.15
2023 Ene - mar,58.17,42.78,44.22,33.26,40.63,49.15,57.98,45.14,32.62,57.61,45.58,58.66,46.24,61.96,54.79,55.56,41.07,59.54,57.34,62.89,61.14,52.65,67.32,63.0,45.27,67.45
2023 Feb - abr,57.47,42.38,43.82,33.09,38.85,49.93,57.21,45.62,33.41,54.77,43.08,59.29,49.19,62.51,54.61,55.43,39.18,58.84,55.57,62.57,59.01,51.92,66.74,63.89,44.51,69.28
2023 Mar - may,56.64,41.83,43.3,32.72,38.04,49.16,56.6,46.24,33.81,53.79,41.38,57.57,47.19,62.62,54.85,55.32,37.63,58.78,56.31,64.17,60.55,49.69,64.87,64.03,42.31,69.13
2023 Abr - jun,55.73,41.24,42.72,32.91,37.01,47.88,53.97,45.14,34.18,53.66,40.84,57.71,48.71,60.07,54.06,54.28,38.09,55.83,58.85,63.24,60.75,47.44,63.92,62.95,42.57,70.02
2023 May - jul,55.92,41.52,42.99,33.51,37.55,47.9,54.27,43.93,33.76,55.57,41.79,57.83,47.41,58.74,55.64,53.12,41.48,55.01,59.63,64.94,59.33,46.57,61.78,61.56,44.71,68.7
2023 Jun - ago,55.97,41.36,42.87,32.79,38.83,47.46,53.99,43.36,33.15,55.65,43.09,57.53,49.49,58.51,53.73,53.71,42.65,53.08,59.66,64.58,58.38,48.32,62.39,61.38,45.42,68.72
