fecha,Población ocupada Total nacional,No informa,"Agricultura, ganadería, caza, silvicultura y pesca","Suministro de electricidad, gas, agua y gestión de desechos^",Industrias manufactureras,Construcción,Comercio y reparación de vehículos,Alojamiento y servicios de comida,Transporte y almacenamiento,Información y comunicaciones,Actividades financieras y de seguros,Actividades inmobiliarias,"Actividades profesionales, científicas, técnicas y servicios administrativos","Administración pública y defensa, educación y atención de la salud humana","Actividades artísticas, entretenimiento, recreación y otras actividades de servicios"
2015-01,19998.21,2.43,3096.49,383.05,2355.54,1478.04,3854.23,1471.56,1472.2,379.76,290.01,240.04,1129.64,1991.14,1854.1
2015-02,20293.44,,3579.28,371.57,2573.88,1305.16,3609.84,1484.29,1400.14,343.61,310.05,227.02,1094.06,2168.28,1826.26
2015-03,20579.09,0.39,3325.64,285.52,2378.39,1619.91,3761.47,1537.4,1460.65,326.8,247.22,231.83,1154.56,2356.91,1892.39
2015-04,20844.67,0.07,3068.51,337.83,2960.01,1445.32,3894.68,1388.52,1547.41,411.97,252.63,224.55,1102.03,2371.37,1839.75
2015-05,20843.72,0.16,3021.8,570.11,2363.74,1438.1,3889.47,1421.8,1552.13,368.49,295.85,242.32,1160.89,2395.38,2123.47
2015-06,20953.35,0.62,3554.81,260.31,2287.84,1448.12,3821.37,1578.91,1391.12,388.99,315.62,296.9,1251.18,2493.1,1864.46
2015-07,20717.53,1.25,3253.27,470.18,2402.73,1519.74,3746.23,1575.01,1415.39,370.47,293.57,226.82,1158.14,2329.16,1955.57
2015-08,20869.05,0.27,3437.3,309.05,2418.58,1371.29,3879.0,1442.42,1518.31,376.94,322.69,244.81,1209.25,2440.22,1898.94
2015-09,20927.33,2.0,3325.8,446.61,2275.77,1534.09,4055.15,1546.29,1406.34,316.08,324.38,199.25,1118.79,2492.26,1884.49
2015-10,21644.46,2.62,3662.78,274.6,2651.86,1477.44,3950.88,1588.38,1388.19,383.61,287.74,246.42,1132.62,2518.19,2079.12
2015-11,21553.19,3.81,3525.94,397.81,2764.53,1495.01,4042.49,1400.75,1343.65,434.73,281.54,268.7,1373.23,2367.57,1853.41
2015-12,21095.78,0.18,3524.7,347.36,2483.16,1581.01,4088.79,1425.82,1429.09,429.97,305.5,271.63,1211.97,2234.03,1762.56
2016-01,20246.3,2.79,2996.54,317.27,2203.13,1543.41,4059.8,1488.33,1531.72,319.39,329.34,277.98,1142.23,2193.04,1841.34
2016-02,20595.02,2.8,3513.71,314.29,2426.55,1383.34,3702.76,1492.87,1506.95,341.61,307.56,207.05,1190.18,2347.5,1857.87
2016-03,20383.15,0.17,3279.8,386.09,2162.4,1430.61,3820.52,1538.59,1466.02,319.43,294.51,212.63,1196.25,2424.24,1851.89
2016-04,21099.39,5.44,3245.84,302.81,2732.84,1454.95,3824.15,1615.3,1460.85,325.3,284.78,268.62,1309.75,2419.39,1849.37
2016-05,20798.39,,3032.94,547.76,2321.89,1523.56,3797.87,1518.78,1502.24,346.37,296.47,222.32,1243.17,2551.51,1893.51
2016-06,21124.23,5.7,3658.7,244.52,2335.12,1540.39,4009.93,1479.13,1355.14,312.74,314.38,271.86,1273.15,2532.49,1790.97
2016-07,20546.72,2.52,3351.82,404.16,2325.32,1347.08,3950.39,1583.62,1444.97,310.45,266.57,215.59,1162.17,2404.2,1777.88
2016-08,20988.7,,3657.26,263.95,2403.45,1377.86,4011.41,1391.27,1412.34,344.76,343.32,236.08,1221.53,2438.6,1886.88
2016-09,20996.44,1.45,3202.97,448.52,2328.99,1619.79,3842.06,1483.26,1485.79,340.43,311.76,270.57,1265.55,2541.78,1853.52
2016-10,21647.39,,3576.08,315.95,2547.28,1463.89,4120.3,1548.25,1448.99,321.8,326.68,292.29,1397.19,2407.87,1880.84
2016-11,21578.62,,3463.58,312.93,2616.95,1580.2,4034.19,1609.61,1398.71,323.03,346.81,221.39,1261.29,2570.85,1839.06
2016-12,21166,,3411.38,291.7,2452.64,1563.03,4039.13,1511.69,1496.31,336.02,262.88,240.53,1240.13,2366.97,1953.59
2017-01,20355.92,5.27,3173.96,371.67,2171.55,1460.8,4051.12,1443.1,1523.95,290.06,296.13,337.54,1214.13,2103.15,1913.48
2017-02,20674.33,25.27,3520.24,309.15,2323.58,1366.02,3982.77,1454.54,1470.28,366.29,256.56,269.25,1256.39,2231.37,1842.61
2017-03,20740.16,0.05,3568.71,334.69,2371.56,1409.79,3916.55,1392.73,1474.55,348.44,260.61,230.74,1163.07,2443.82,1824.88
2017-04,21345.46,11.69,3329.97,360.99,2895.23,1334.88,3785.73,1542.92,1446.21,344.96,287.98,264.0,1359.23,2534.36,1847.32
2017-05,21015.67,12.33,3374.5,554.89,2347.12,1493.46,3906.02,1458.0,1493.73,358.35,275.99,193.28,1287.54,2453.51,1806.93
2017-06,21568.19,0.05,3736.97,268.42,2389.13,1522.3,3985.61,1400.15,1485.33,339.5,312.12,267.8,1271.15,2626.24,1963.42
2017-07,20932.96,6.98,3619.24,508.38,2223.02,1450.04,3951.24,1486.88,1383.21,350.8,306.2,252.19,1266.0,2271.03,1857.73
2017-08,21210.83,0.39,3740.49,298.86,2286.54,1402.22,3831.06,1453.78,1436.7,336.18,285.03,285.6,1430.04,2625.99,1797.96
2017-09,21097.19,10.08,3521.03,414.72,2276.61,1369.93,3959.25,1492.53,1404.84,342.8,291.59,243.3,1319.24,2567.16,1884.09
2017-10,21717.21,0.79,3682.85,259.22,2542.72,1543.59,4113.36,1624.62,1426.8,333.1,263.5,310.94,1318.68,2436.76,1860.28
2017-11,21492.08,1.43,3750.65,329.5,2563.71,1419.34,3995.83,1492.47,1333.6,311.48,331.26,259.06,1406.76,2445.56,1851.43
2017-12,21385.38,1.67,3543.03,317.1,2489.18,1579.82,3951.51,1559.31,1640.78,291.12,266.6,237.69,1342.4,2230.05,1935.13
2018-01,20419.28,0.17,3426.82,393.17,2172.39,1365.84,3857.13,1714.74,1435.61,298.82,254.23,259.79,1286.62,2075.43,1878.5
2018-02,20616.6,,3646.03,332.81,2422.31,1313.02,3769.19,1505.93,1438.62,357.65,282.91,230.16,1286.28,2293.35,1738.35
2018-03,20973.51,,3651.37,385.5,2219.54,1305.56,3832.63,1518.21,1532.65,300.78,271.64,283.39,1301.58,2478.3,1892.38
2018-04,21410.16,,3333.66,368.97,2764.33,1381.89,4133.36,1468.23,1508.28,314.4,263.53,272.15,1213.9,2555.94,1831.53
2018-05,21243.29,,3267.84,653.67,2350.61,1458.47,3868.7,1450.68,1491.73,328.65,315.11,243.35,1285.21,2543.83,1985.44
2018-06,21516.87,,3725.4,251.86,2328.73,1361.67,4082.2,1400.59,1351.73,315.91,231.32,353.03,1388.63,2822.28,1903.54
2018-07,21194.28,4.23,3384.81,510.67,2353.7,1416.74,4040.18,1433.63,1452.14,323.66,276.15,263.16,1248.57,2488.74,1997.91
2018-08,21498.97,0.23,3864.83,306.32,2521.71,1302.82,4025.4,1305.93,1473.53,311.46,298.31,269.06,1302.53,2620.39,1896.47
2018-09,21503.01,,3458.61,467.16,2278.05,1545.73,4212.53,1473.15,1403.3,370.68,342.62,273.63,1339.89,2398.95,1938.7
2018-10,21768.05,0.55,3724.5,308.51,2624.85,1457.13,4145.4,1461.5,1398.3,332.23,305.19,310.96,1392.75,2451.05,1855.14
2018-11,21355.2,,3682.22,377.34,2658.8,1469.72,3783.3,1367.06,1445.86,298.65,264.93,256.01,1365.07,2444.32,1941.92
2018-12,21761.25,,3695.52,302.88,2516.13,1554.61,3940.59,1447.85,1584.03,358.87,305.22,318.01,1367.39,2413.1,1957.06
2019-01,20603.15,,3302.64,363.41,2156.38,1445.55,4106.07,1495.25,1505.31,265.97,319.61,279.52,1211.24,2096.44,2055.77
2019-02,21048.17,,3588.35,302.58,2317.64,1289.12,3983.67,1527.34,1513.65,328.76,333.36,220.48,1272.82,2427.39,1943.02
