departamento,n_empresas,ingresos_2024_miles,pct_empresas,pct_ingresos
BOGOTA D.C.,480,700614328421,48.0,59.19
ANTIOQUIA,173,187282851666,17.3,15.82
VALLE,101,79714155571,10.1,6.73
ATLANTICO,61,65039072254,6.1,5.49
BOLIVAR,26,53298712049,2.6,4.5
CUNDINAMARCA,53,33151948074,5.3,2.8
SANTANDER,25,15896909600,2.5,1.34
CALDAS,14,9594143261,1.4,0.81
RISARALDA,17,9504580294,1.7,0.8
MAGDALENA,8,6592682000,0.8,0.56
NORTE DE SANTANDER,11,6293864848,1.1,0.53
CAUCA,8,4242752891,0.8,0.36
HUILA,3,2462870111,0.3,0.21
BOYACA,3,2142509312,0.3,0.18
META,4,1920396808,0.4,0.16
QUINDIO,3,1449777059,0.3,0.12
TOLIMA,3,1349153242,0.3,0.11
NARIÑO,2,1008920999,0.2,0.09
CORDOBA,2,801063520,0.2,0.07
SUCRE,1,564758436,0.1,0.05
CASANARE,1,423363461,0.1,0.04
SAN ANDRES Y PROVIDENCIA,1,274253324,0.1,0.02
