departamento,n_empresas,ingresos_2023_miles,porcentaje_empresas
BOGOTA D.C.,481,791855730942.0712,48.1
ANTIOQUIA,172,196433050258.80902,17.2
VALLE DEL CAUCA,93,81951820301.207,9.3
ATLANTICO,59,64425005645.348,5.9
CUNDINAMARCA,53,33796783648,5.3
BOLIVAR,26,67644203463.364,2.6
SANTANDER,26,15810938215,2.6
RISARALDA,15,11862412600,1.5
CALDAS,15,10304449407,1.5
NORTE DE SANTANDER,13,7328176210,1.3
CAUCA,10,8014901166,1.0
MAGDALENA,8,6073802102,0.8
BOYACA,5,3365057179,0.5
HUILA,5,2711836730,0.5
NARIÑO,3,3966658604,0.3
CORDOBA,3,1928848873.2610002,0.3
META,3,1483041318,0.3
TOLIMA,3,1367947749,0.3
QUINDIO,3,1288611440,0.3
GUAJIRA,1,438698652,0.1
CASANARE,1,390628438,0.1
SUCRE,1,389830379,0.1
CESAR,1,337140359,0.1
