ranking,nit,razon_social,supervisor,region,departamento,ciudad,ciiu,macrosector,ingresos_2023,ganancia_2023,activos_2023,pasivos_2023,patrimonio_2023,ingresos_2022,ganancia_2022,activos_2022,pasivos_2022,patrimonio_2022,grupo_niif
1,899999068,ECOPETROL S.A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0610 - Extracción de petróleo crudo,Minero,129508675000,19062091000,198732048000,120339989000,78392059000,144820641934,33406291190,216847696868,125812992019,91034704849,GRUPO 1
2,900112515,REFINERIA DE CARTAGENA S.A.,SUPERSERVICIOS,Costa Atlántica,BOLIVAR,CARTAGENA,"C1921 - Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles",Manufactura,32050663229.016,3491071127.88,37080019697.618,12339425674.582,24740594023.036,27910347095.288,2188258717.171,42844949768.948,16480903602.221,26364046166.727,
3,890100577,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",H5111 - Transporte aéreo nacional de pasajeros,Servicios,27150513815.328,224732589.35,18938010690.614,20044894930.057,-1106884239.443,22520677111.772,-801213587.941,17886971237.998,19333652424.242,-1446681186.244,GRUPO 1
4,830095213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",Comercio,23048284871,285273513,7357710447,4606665920,2751044527,23603192495,333411532,7481575073,4473299528,3008275545,GRUPO 1
5,900156264,NUEVA EMPRESA PROMOTORA DE SALUD S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",O8430 - Actividades de planes de seguridad social de afiliación obligatoria,Servicios,20279681124,-341816765,6815192849,6671800785,143392064,14777134070,10400284,5913636590,5428427760,485208830,GRUPO 2
6,890904996,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P. ,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN,D3513- Distribución de energía electrica,Servicios,17781794000,3765281000,62699945000,33247382000,29452563000,15065382014,3035955917,59469202000,30243347000,29225855000,GRUPO 1
7,900276962,D1 S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",Comercio,17424130562,294590579,5680868613,5505506544,175362069,13957675264,120317579,5176574854,5055174815,121400039,20 NIIF Plenas - Separado Grupo 1
8,890900608,ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",Comercio,15732183000,125998000,13580684000,7480007000,6100677000,15130186945,99072453,14848638206,7622556967,7226081239,GRUPO 1
9,800021308,DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",B0510 - Extracción de hulla (carbón de piedra),Minero,15514019870,3265990317,11827817835,3754794706,8073023129,15268144128,2158037207,14272508653,6338078590,7934430063,10 NIIF Plenas - Individual Grupo 1
10,860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",Servicios,15309024322,1931621190,27536199298,14407141866,13129057432,11272249913,2859963898,27061068601,11889137203,15171931398,
11,800153993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.",J6120 - Actividades de telecomunicaciones inalámbricas,Servicios,14854583980,1408971270,24027129176,13854214499,10172914677,14626791424,1787125988,23428698444,14671477099,8757221345,20 NIIF Plenas - Separado Grupo 1
12,900480569,JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,"BOGOTA, D.C.","G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",Comercio,12352070906,-659212268,7157245450,7031102248,126143202,8625936384,-230627340,5204082100,5100290834,103791266,10 NIIF Plenas - Individual Grupo 1
