anio,actividad_interna_total,renta_total,iva_interno_total,gmf,patrimonio,consumo_nacional,gasolina,carbono,regimen_simple,actividad_externa_total,iva_externo,arancel,por_clasificar,total_dian
1970,7557.0,5958.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3755.0,74.0,3681.0,0.0,11312.0
1971,9154.0,6940.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,4389.0,344.0,4045.0,0.0,13543.0
1972,10508.0,8021.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,5082.0,548.0,4534.0,0.0,15590.0
1973,12111.0,9050.0,1686.0,0.0,0.0,0.0,0.0,0.0,0.0,6930.0,774.0,6156.0,0.0,19041.0
1974,15481.0,11135.0,2555.0,0.0,0.0,0.0,0.0,0.0,0.0,9024.0,1390.0,7634.0,0.0,24505.0
1975,25147.0,18315.0,5174.0,0.0,0.0,0.0,0.0,0.0,0.0,12063.0,2584.0,9479.0,0.0,37210.0
1976,29014.0,20769.0,6497.0,0.0,0.0,0.0,0.0,0.0,0.0,17251.0,3564.0,13687.0,0.0,46265.0
1977,34708.0,24188.0,8344.0,0.0,0.0,0.0,0.0,0.0,0.0,24144.0,5107.0,19037.0,0.0,58852.0
1978,44704.0,30677.0,11151.0,0.0,0.0,0.0,0.0,0.0,0.0,29011.0,7506.0,21505.0,0.0,73715.0
1979,57217.0,38485.0,15556.0,0.0,0.0,0.0,0.0,0.0,0.0,34819.0,9342.0,25477.0,0.0,92036.0
1980,72045.0,48318.0,18758.0,0.0,0.0,0.0,0.0,0.0,0.0,50332.0,14806.0,35526.0,0.0,122377.0
1981,85384.0,54726.0,25713.0,0.0,0.0,0.0,0.0,0.0,0.0,54694.0,17159.0,37535.0,0.0,140078.0
1982,108021.0,67870.0,33536.0,0.0,0.0,0.0,0.0,0.0,0.0,65254.0,21282.0,43972.0,0.0,173275.0
1983,149664.0,100231.0,41997.0,0.0,0.0,0.0,0.0,0.0,0.0,64202.0,21357.0,42845.0,0.0,213866.0
1984,194135.0,120839.0,62269.0,0.0,0.0,0.0,0.0,0.0,0.0,71914.0,25827.0,46087.0,0.0,266049.0
1985,276386.0,162099.0,94801.0,0.0,0.0,0.0,0.0,0.0,0.0,131173.0,40758.0,90415.0,0.0,407559.0
1986,373567.0,222601.0,126040.0,0.0,0.0,0.0,0.0,0.0,0.0,204381.0,62743.0,141638.0,0.0,577948.0
1987,508457.0,318329.0,173164.0,0.0,0.0,0.0,0.0,0.0,0.0,332825.0,91559.0,241266.0,0.0,841282.0
1988,674696.0,426929.0,228690.0,0.0,0.0,0.0,0.0,0.0,0.0,468419.0,133764.0,334655.0,0.0,1143115.0
1989,920160.0,586745.0,307202.0,0.0,0.0,0.0,0.0,0.0,0.0,561579.0,161477.0,400102.0,0.0,1481739.0
1990,1267784.0,822513.0,411482.0,0.0,0.0,0.0,0.0,0.0,0.0,705148.0,212470.0,492678.0,0.0,1972932.0
1991,2078931.0,1409760.0,628340.0,0.0,0.0,0.0,0.0,0.0,0.0,693539.0,275308.0,418231.0,0.0,2772470.0
1992,2796539.0,1846321.0,894653.0,0.0,0.0,0.0,0.0,0.0,0.0,797024.0,460017.0,337007.0,0.0,3593563.0
1993,3693220.0,2318382.0,1359344.0,0.0,0.0,0.0,0.0,0.0,0.0,1447246.0,901757.0,545489.0,0.0,5140466.0
1994,4698324.0,2810450.0,1801397.0,0.0,0.0,0.0,0.0,0.0,0.0,1876135.0,1142775.0,733360.0,11292.0,6585751.0
1995,5831299.0,3483559.0,2218156.0,0.0,0.0,0.0,0.0,0.0,0.0,2312084.0,1436018.0,876066.0,16146.0,8159529.0
1996,7608094.0,4046703.0,3412537.0,0.0,0.0,0.0,0.0,0.0,0.0,2525170.0,1619137.0,906033.0,31978.0,10165242.0
1997,9722309.0,5478876.0,4010276.0,0.0,0.0,0.0,0.0,0.0,0.0,3432829.0,2079276.0,1353553.0,130502.0,13285640.0
1998,10890906.0,6061012.0,4512718.0,0.0,0.0,0.0,0.0,0.0,0.0,4118394.0,2401536.0,1716858.0,12410.0,15021710.0
1999,12851660.0,6700405.0,4934015.0,880692.0,0.0,0.0,0.0,0.0,0.0,3573073.0,2134398.0,1438675.0,10616.0,16435349.0
2000,14755988.900312005,7526963.613461876,5789588.730359226,1036744.0,0.0,0.0,0.0,0.0,0.0,4505080.6343829995,2742842.420735395,1762238.2136476045,34037.74621299993,19295107.280908003
2001,19441735.498156995,10261225.495870292,7322401.820772237,1437359.0,0.0,0.0,0.0,0.0,0.0,5406023.702323997,3152714.1399326827,2253309.562391315,21999.809635999212,24869759.01011699
2002,21903835.194333013,10859993.412395269,7951042.492911259,1408101.0,1250721.5153250012,0.0,0.0,0.0,0.0,5635979.793234998,3485895.9007056165,2150083.8925293814,13579.002785999586,27553393.990354013
2003,25574800.856924,12541672.56551232,9672157.254809268,1621500.0,1227934.1953179978,0.0,0.0,0.0,0.0,6690430.305588999,4405050.639034126,2285379.666554873,20019.116747999746,32285250.279261
2004,30232457.156700023,15955333.583027989,11010806.088457314,2237595.0,454012.2869939997,0.0,0.0,0.0,0.0,7544122.874234995,5163343.278676723,2380779.595558272,88490.9326840001,37865070.963619016
2005,34272520.58408203,18538970.09403962,12184699.246262275,2401225.874596,474219.47904999997,0.0,0.0,0.0,0.0,9285241.584821004,6277481.19430496,3007760.390516045,33837.39960899981,43591599.56851204
2006,40544593.171061,22419113.15238896,14129092.986480052,2668946.016352,536233.482434,0.0,0.0,0.0,0.0,12260111.751030996,8569224.03520682,3690887.715824176,19655.699150000048,52824360.621242
2007,46887521.71317801,24741645.389848202,17059745.041436613,2989521.9663790003,1232680.948867,0.0,0.0,0.0,0.0,13335911.383433001,9091406.617664892,4244504.765768109,18420.725302000003,60241853.82191301
