fecha,% PET,TGP,TO,TD,TS,Poblacion total (miles),PET (miles),Fuerza trabajo (miles),Ocupados (miles),Desocupados (miles),PEI (miles)
2001-01,70.61,70.02,55.51,20.72,12.04,16961.02,11975.55,8385.01,6647.84,1737.17,3590.55
2001-02,70.64,70.23,56.5,19.55,13.72,16986.26,11998.4,8426.97,6779.35,1647.63,3571.42
2001-03,70.66,69.15,55.92,19.12,14.61,17008.94,12018.96,8310.96,6721.57,1589.39,3708.01
2001-04,70.69,67.72,55.82,17.57,12.68,17033.96,12041.71,8155.04,6722.21,1432.83,3886.67
2001-05,70.72,68.06,55.96,17.77,13.28,17058.02,12063.66,8210.12,6751.39,1458.73,3853.54
2001-06,70.75,68.67,55.86,18.66,12.89,17082.76,12086.28,8300.25,6751.78,1548.47,3786.03
2001-07,70.78,68.94,57.08,17.21,13.52,17106.53,12108.11,8347.6,6911.04,1436.57,3760.51
2001-08,70.81,68.75,56.54,17.76,13.99,17130.96,12130.6,8340.34,6859.04,1481.3,3790.26
2001-09,70.84,69.27,57.03,17.67,14.28,17155.27,12153.06,8418.98,6931.48,1487.5,3734.08
2001-10,70.87,70.06,58.31,16.77,13.25,17178.66,12174.75,8529.61,7099.17,1430.44,3645.13
2001-11,70.9,69.44,58.07,16.38,12.23,17202.71,12197.12,8470.08,7082.9,1387.18,3727.04
2001-12,70.93,70.61,58.98,16.47,10.05,17225.82,12218.71,8627.77,7206.74,1421.03,3590.94
2002-01,70.96,69.48,55.4,20.26,13.52,17249.64,12241.05,8504.77,6781.43,1723.34,3736.28
2002-02,71.0,69.2,56.07,18.97,15.59,17273.31,12263.35,8485.71,6876.05,1609.66,3777.64
2002-03,71.03,68.16,56.19,17.56,14.78,17294.6,12283.49,8372.64,6902.49,1470.15,3910.85
2002-04,71.06,70.18,57.52,18.04,13.8,17318.1,12305.79,8636.46,7078.29,1558.16,3669.34
2002-05,71.09,68.63,56.81,17.23,14.78,17340.72,12327.38,8460.17,7002.66,1457.51,3867.21
2002-06,71.12,69.06,56.94,17.55,15.06,17364.0,12349.69,8528.52,7031.39,1497.13,3821.17
2002-07,71.16,69.9,57.23,18.12,15.94,17386.47,12371.34,8647.08,7080.16,1566.93,3724.26
2002-08,71.19,69.76,57.1,18.16,16.41,17409.58,12393.7,8646.17,7076.38,1569.79,3747.54
2002-09,71.22,69.08,57.11,17.33,17.09,17432.62,12416.09,8577.51,7091.42,1486.08,3838.58
2002-10,71.26,69.41,58.27,16.06,12.09,17454.8,12437.73,8633.41,7247.01,1386.4,3804.31
2002-11,71.29,70.61,59.87,15.22,12.42,17477.68,12460.12,8798.62,7459.42,1339.2,3661.5
2002-12,71.33,70.45,59.47,15.58,11.48,17499.74,12481.78,8793.28,7422.96,1370.32,3688.5
2003-01,71.36,69.01,56.46,18.18,13.77,17522.46,12504.14,8628.59,7060.08,1568.51,3875.55
2003-02,71.4,69.01,56.87,17.59,14.38,17545.07,12526.44,8644.18,7123.3,1520.88,3882.26
2003-03,71.43,68.8,56.68,17.6,13.66,17565.45,12546.57,8631.42,7111.96,1519.47,3915.14
2003-04,71.46,68.56,56.43,17.69,13.86,17587.93,12568.81,8617.52,7093.16,1524.36,3951.29
2003-05,71.5,69.41,58.08,16.33,13.84,17609.58,12590.25,8739.07,7311.91,1427.15,3851.19
2003-06,71.53,69.13,57.66,16.59,14.06,17631.93,12612.38,8718.64,7272.31,1446.33,3893.74
2003-07,71.56,69.68,57.36,17.68,15.25,17653.42,12633.67,8803.48,7247.01,1556.48,3830.18
