trimestre_movil,Ocupados_TN,Formales_TN,Informales_TN,Hombres_total,Hombres_formales,Hombres_informales,Mujeres_total,Mujeres_formales,Mujeres_informales
2021 Ene - mar,19787.21,7785.65,12001.56,12111.38,4397.86,7713.53,7675.83,3387.8,4288.03
2021 Feb - abr,20004.16,7909.36,12094.8,12236.58,4517.76,7718.82,7767.57,3391.59,4375.98
2021 Mar - may,19946.44,8072.08,11874.35,12198.13,4613.21,7584.92,7748.3,3458.88,4289.43
2021 Abr - jun,19939.26,8129.45,11809.81,12140.43,4615.55,7524.87,7798.83,3513.89,4284.94
2021 May - jul,20159.42,8238.33,11921.09,12260.09,4651.42,7608.67,7899.33,3586.91,4312.42
2021 Jun - ago,20355.45,8213.25,12142.2,12401.02,4667.11,7733.91,7954.43,3546.14,4408.29
2021 Jul - sep,20558.21,8379.5,12178.71,12531.42,4780.54,7750.88,8026.79,3598.96,4427.83
2021 Ago - oct,20780.74,8468.64,12312.09,12656.86,4875.17,7781.69,8123.87,3593.48,4530.4
2021 Sep - nov,21010.88,8699.1,12311.78,12735.63,5015.45,7720.18,8275.25,3683.65,4591.6
2021 Oct - dic,21282.29,8786.18,12496.11,12843.84,5083.71,7760.13,8438.45,3702.47,4735.98
2021 Nov 21 - ene 22,21152.72,8877.01,12275.72,12743.07,5105.74,7637.33,8409.65,3771.26,4638.39
2021 Dic 21 - feb 22,21290.67,8866.12,12424.56,12757.61,5032.02,7725.59,8533.06,3834.1,4698.96
2022 Ene - mar,21352.18,8871.16,12481.01,12772.46,4984.38,7788.08,8579.72,3886.79,4692.93
2022 Feb - abr,21772.71,8972.86,12799.85,12919.65,4993.03,7926.62,8853.07,3979.83,4873.23
2022 Mar - may,21940.66,9209.82,12730.84,13025.12,5169.8,7855.32,8915.54,4040.02,4875.52
2022 Abr - Jun,22054.92,9319.96,12734.96,13059.18,5238.86,7820.32,8995.74,4081.1,4914.64
2022 May - jul,22087.47,9320.58,12766.89,13090.43,5256.26,7834.17,8997.04,4064.32,4932.72
2022 Jun - ago,22079.22,9295.44,12783.78,13047.57,5237.11,7810.46,9031.65,4058.33,4973.32
2022 Jul - sep,22201.47,9317.69,12883.77,13050.8,5227.8,7823.01,9150.67,4089.9,5060.77
2022 Ago - oct,22385.13,9435.21,12949.92,13160.85,5296.41,7864.44,9224.28,4138.8,5085.48
2022 Sep - nov,22493.89,9449.59,13044.29,13225.87,5279.6,7946.27,9268.01,4170.0,5098.02
2022 Oct - dic,22520.16,9555.08,12965.07,13276.84,5334.97,7941.87,9243.32,4220.12,5023.2
2022 Nov 22 - ene 23,22148.66,9378.9,12769.77,13095.05,5242.7,7852.35,9053.61,4136.2,4917.41
2022 Dic 22 - feb 23,22064.14,9306.45,12757.69,13055.53,5216.02,7839.51,9008.61,4090.42,4918.18
2023 Ene - mar,22172.65,9275.53,12897.12,13118.79,5186.82,7931.98,9053.86,4088.71,4965.14
2023 Feb - abr,22589.45,9606.63,12982.82,13310.12,5365.3,7944.82,9279.33,4241.33,5038.0
2023 Mar - may,22701.04,9844.3,12856.74,13328.52,5465.65,7862.87,9372.51,4378.65,4993.86
2023 Abr - jun,22787.22,10086.91,12700.31,13357.25,5627.93,7729.32,9429.97,4458.98,4970.99
2023 May - jul,22933.83,10109.48,12824.35,13388.67,5594.57,7794.09,9545.16,4514.91,5030.25
2023 Jun - ago,23131.71,10185.15,12946.56,13508.73,5657.38,7851.35,9622.98,4527.76,5095.21
2023 Jul - sep,23149.82,10163.49,12986.33,13490.09,5621.14,7868.95,9659.73,4542.34,5117.39
2023 Ago - oct,23116.48,10240.1,12876.38,13465.33,5713.52,7751.81,9651.15,4526.58,5124.57
2023 Sep - nov,23124.64,10298.67,12825.96,13473.83,5758.43,7715.4,9650.81,4540.25,5110.56
2023 Oct - dic,23043.88,10251.1,12792.78,13458.58,5787.09,7671.5,9585.3,4464.02,5121.28
2023 Nov 23 - ene 24,22691.49,10054.06,12637.43,13362.73,5706.02,7656.71,9328.76,4348.03,4980.72
2023 Dic 23 - feb 24,22460.62,9815.57,12645.05,13261.22,5566.26,7694.96,9199.4,4249.31,4950.09
2024 Ene - mar,22387.54,9792.55,12594.98,13207.09,5536.24,7670.85,9180.45,4256.31,4924.14
2024 Feb - abr,22667.55,9911.88,12755.66,13267.28,5566.83,7700.45,9400.27,4345.06,5055.21
2024 Mar - may,22846.6,10090.83,12755.77,13341.62,5622.45,7719.17,9504.98,4468.38,5036.6
2024 Abr - jun,22938.9,10143.18,12795.71,13429.72,5683.59,7746.13,9509.17,4459.59,5049.58
2024 May - jul,23051.68,10172.5,12879.18,13516.06,5664.62,7851.44,9535.62,4507.87,5027.74
2024 Jun - ago,23180.94,10204.01,12976.92,13557.45,5712.77,7844.67,9623.49,4491.24,5132.25
2024 Jul - sep,23278.06,10280.89,12997.17,13597.07,5744.65,7852.42,9680.99,4536.25,5144.74
2024 Ago - oct,23341.43,10365.88,12975.55,13653.2,5852.49,7800.71,9688.23,4513.39,5174.84
2024 Sep - nov,23403.89,10452.2,12951.69,13686.17,5898.56,7787.62,9717.72,4553.64,5164.08
2024 Oct - dic,23539.68,10416.46,13123.22,13722.21,5858.35,7863.86,9817.47,4558.12,5259.36
2024 Nov 24 - ene 25,23376.26,10278.11,13098.15,13706.32,5790.42,7915.9,9669.94,4487.69,5182.24
2024 Dic 24 - feb 25,23331.0,10070.08,13260.92,13699.73,5670.74,8028.99,9631.26,4399.33,5231.93
2025 Ene - mar,23358.24,10004.25,13353.99,13717.09,5587.74,8129.35,9641.14,4416.51,5224.63
2025 Feb - abr,23582.65,10193.98,13388.67,13769.68,5652.08,8117.6,9812.96,4541.89,5271.07
2025 Mar - may,23635.1,10415.65,13219.46,13857.19,5841.18,8016.01,9777.91,4574.47,5203.45
2025 Abr - jun,23651.95,10633.53,13018.43,13877.63,5954.55,7923.09,9774.32,4678.98,5095.34
2025 May - jul,23782.94,10707.8,13075.14,13899.76,5937.27,7962.49,9883.18,4770.53,5112.65
2025 Jun - ago,23844.28,10686.79,13157.49,13934.26,5885.96,8048.3,9910.02,4800.84,5109.19
2025 Jul - sep,23902.24,10754.49,13147.76,13921.99,5924.3,7997.69,9980.25,4830.18,5150.07
2025 Ago - oct,24035.77,10710.24,13325.53,14036.14,5925.65,8110.49,9999.63,4784.59,5215.04
2025 Sep - nov,24298.37,10848.08,13450.28,14128.78,5958.6,8170.18,10169.59,4889.48,5280.1
2025 Oct - dic,24397.3,10811.99,13585.31,14221.23,5965.45,8255.79,10176.07,4846.54,5329.53
2026 Nov 25 - ene 26,24016.43,10727.0,13289.43,14018.05,5971.98,8046.07,9998.38,4755.02,5243.36
