trimestre_movil,Total_ocupados,Microempresa_total,Empresa_pequena_total,Empresa_mediana_total,Empresa_grande_total,Total_formales,Microempresa_formal,Empresa_pequena_formal,Empresa_mediana_formal,Empresa_grande_formal,Total_informales,Microempresa_informal,Empresa_pequena_informal,Empresa_mediana_informal,Empresa_grande_informal
2021 Ene - mar,19787.21,13428.78,2376.93,1492.41,2489.09,7785.65,2355.11,1822.79,1318.98,2288.78,12001.56,11073.67,554.14,173.43,200.31
2021 Feb - abr,20004.16,13487.41,2365.62,1509.78,2641.35,7909.36,2274.99,1823.39,1356.58,2454.4,12094.8,11212.42,542.23,153.21,186.95
2021 Mar - may,19946.44,13190.1,2339.02,1580.29,2837.03,8072.08,2144.55,1842.12,1426.32,2659.09,11874.35,11045.55,496.9,153.96,177.94
2021 Abr - jun,19939.26,13056.25,2320.75,1694.57,2867.69,8129.45,2066.29,1828.49,1524.7,2709.97,11809.81,10989.96,492.26,169.87,157.72
2021 May - jul,20159.42,13174.84,2260.98,1726.56,2997.03,8238.33,2025.84,1806.83,1561.04,2844.63,11921.09,11149.0,454.16,165.52,152.41
2021 Jun - ago,20355.45,13389.28,2176.21,1667.23,3122.74,8213.25,1989.62,1728.52,1522.55,2972.56,12142.2,11399.66,447.69,144.68,150.17
2021 Jul - sep,20558.21,13413.31,2128.7,1627.88,3388.31,8379.5,2013.99,1662.26,1481.57,3221.68,12178.71,11399.32,466.44,146.32,166.63
2021 Ago - oct,20780.74,13402.33,2184.0,1647.91,3546.49,8468.64,1950.03,1682.05,1481.56,3355.02,12312.09,11452.31,501.95,166.36,191.47
2021 Sep - nov,21010.88,13457.76,2221.84,1721.33,3609.95,8699.1,2034.52,1703.87,1546.84,3413.86,12311.78,11423.24,517.97,174.49,196.09
2021 Oct - dic,21282.29,13651.53,2256.03,1750.25,3624.49,8786.18,2052.0,1724.89,1590.72,3418.58,12496.11,11599.53,531.14,159.53,205.91
2021 Nov 21 - ene 22,21152.72,13485.58,2252.3,1740.68,3674.17,8877.01,2040.21,1735.15,1603.61,3498.03,12275.72,11445.37,517.15,137.06,176.14
2021 Dic 21 - feb 22,21290.67,13557.16,2258.69,1667.83,3806.99,8866.12,1973.33,1736.53,1535.67,3620.58,12424.56,11583.83,522.16,132.16,186.41
2022 Ene - mar,21352.18,13596.63,2245.35,1574.64,3935.56,8871.16,1967.6,1729.0,1435.08,3739.48,12481.01,11629.03,516.35,139.56,196.08
2022 Feb - abr,21772.71,13896.47,2195.73,1541.6,4138.91,8972.86,2001.24,1653.64,1401.3,3916.69,12799.85,11895.24,542.09,140.3,222.22
2022 Mar - may,21940.66,13864.83,2210.49,1571.63,4293.72,9209.82,2050.84,1658.24,1438.22,4062.52,12730.84,11813.99,552.25,133.41,231.2
2022 Abr - Jun,22054.92,13907.86,2173.85,1584.45,4388.76,9319.96,2045.51,1639.31,1456.91,4178.23,12734.96,11862.36,534.54,127.54,210.52
2022 May - jul,22087.47,14003.29,2205.59,1544.44,4334.15,9320.58,2079.2,1685.71,1419.91,4135.76,12766.89,11924.09,519.88,124.53,198.38
2022 Jun - ago,22079.22,14046.16,2228.81,1543.12,4261.13,9295.44,2095.29,1705.38,1417.49,4077.27,12783.78,11950.86,523.43,125.63,183.85
2022 Jul - sep,22201.47,14177.95,2294.56,1514.55,4214.4,9317.69,2153.07,1739.78,1395.54,4029.31,12883.77,12024.89,554.78,119.01,185.09
2022 Ago - oct,22385.13,14327.92,2237.08,1563.0,4257.13,9435.21,2210.52,1696.73,1440.83,4087.13,12949.92,12117.41,540.34,122.17,170.0
2022 Sep - nov,22493.89,14396.85,2224.37,1590.24,4282.43,9449.59,2227.53,1665.31,1451.99,4104.77,13044.29,12169.32,559.06,138.25,177.66
2022 Oct - dic,22520.16,14321.73,2212.22,1677.02,4309.19,9555.08,2215.28,1677.3,1531.68,4130.83,12965.07,12106.46,534.92,145.33,178.36
2022 Nov 22 - ene 23,22148.66,13969.42,2227.61,1676.58,4275.06,9378.9,2095.6,1676.64,1521.92,4084.73,12769.77,11873.82,550.97,154.66,190.32
2022 Dic 22 - feb 23,22064.14,14029.13,2172.98,1607.17,4254.85,9306.45,2072.01,1667.06,1478.97,4088.41,12757.69,11957.13,505.92,128.2,166.44
2023 Ene - mar,22172.65,14203.93,2129.17,1585.95,4253.6,9275.53,2085.58,1634.63,1461.07,4094.25,12897.12,12118.35,494.54,124.88,159.35
2023 Feb - abr,22589.45,14451.59,2161.38,1551.31,4425.17,9606.63,2189.75,1708.43,1440.5,4267.96,12982.82,12261.84,452.95,110.81,157.22
2023 Mar - may,22701.04,14295.44,2148.13,1596.95,4660.51,9844.3,2161.26,1700.28,1488.42,4494.34,12856.74,12134.18,447.85,108.53,166.17
2023 Abr - jun,22787.22,14163.31,2188.47,1596.88,4838.57,10086.91,2191.56,1717.42,1497.4,4680.53,12700.31,11971.74,471.05,99.47,158.04
2023 May - jul,22933.83,14258.04,2203.37,1610.96,4861.47,10109.48,2162.61,1698.07,1517.29,4731.51,12824.35,12095.42,505.31,93.67,129.95
2023 Jun - ago,23131.71,14471.54,2264.09,1608.0,4788.08,10185.15,2269.8,1745.77,1501.73,4667.86,12946.56,12201.75,518.32,106.27,120.22
2023 Jul - sep,23149.82,14478.38,2275.96,1608.44,4787.04,10163.49,2244.84,1773.34,1496.36,4648.95,12986.33,12233.55,502.62,112.08,138.08
2023 Ago - oct,23116.48,14367.66,2302.17,1637.2,4809.46,10240.1,2278.54,1774.38,1523.09,4664.08,12876.38,12089.12,527.78,114.1,145.37
2023 Sep - nov,23124.64,14298.13,2378.69,1596.97,4850.85,10298.67,2242.63,1851.7,1498.36,4705.98,12825.96,12055.5,526.99,98.61,144.87
2023 Oct - dic,23043.88,14334.69,2365.57,1562.46,4781.16,10251.1,2270.01,1863.09,1469.83,4648.16,12792.78,12064.68,502.48,92.62,133.0
2023 Nov 23 - ene 24,22691.49,14177.38,2307.21,1594.42,4612.47,10054.06,2222.11,1843.57,1508.42,4479.96,12637.43,11955.28,463.64,86.0,132.52
2023 Dic 23 - feb 24,22460.62,14127.76,2268.99,1601.39,4462.48,9815.57,2203.83,1776.88,1514.52,4320.34,12645.05,11923.93,492.1,86.87,142.14
2024 Ene - mar,22387.54,14041.37,2239.04,1615.27,4491.86,9792.55,2170.62,1735.75,1526.31,4359.87,12594.98,11870.75,503.29,88.96,131.99
2024 Feb - abr,22667.55,14162.3,2291.61,1547.18,4666.46,9911.88,2171.18,1762.36,1457.58,4520.77,12755.66,11991.12,529.25,89.61,145.69
