fecha,PEI_total,Estudiando,Oficios_del_hogar,Otros
2010-01,10120.63,2271.89,5537.62,2311.12
2010-02,10051.03,2764.17,5223.38,2063.49
2010-03,10379.36,2895.37,5407.09,2076.9
2010-04,9839.49,2700.64,5078.15,2060.7
2010-05,10173.54,2828.82,5268.82,2075.9
2010-06,10072.63,2784.15,5237.96,2050.52
2010-07,10106.8,2675.27,5292.92,2138.6
2010-08,10232.83,2804.88,5332.17,2095.78
2010-09,9937.89,2775.75,5019.54,2142.6
2010-10,9797.5,2711.13,5081.71,2004.66
2010-11,9884.95,2721.33,5129.75,2033.88
2010-12,10156.85,2260.64,5610.42,2285.78
2011-01,10133.33,2427.46,5301.52,2404.35
2011-02,10325.28,2734.34,5439.29,2151.65
2011-03,10304.71,2793.59,5329.05,2182.07
2011-04,10304.33,2821.47,5322.04,2160.82
2011-05,10094.43,2747.02,5225.28,2122.13
2011-06,10289.33,2694.51,5425.72,2169.1
2011-07,10202.7,2639.46,5395.07,2168.17
2011-08,10509.88,2934.2,5338.41,2237.28
2011-09,10113.6,2861.81,5052.85,2198.94
2011-10,9365.21,2293.09,4991.46,2080.66
2011-11,9726.77,2590.82,5001.56,2134.39
2011-12,10060.9,1872.84,5594.96,2593.1
2012-01,10106.65,2253.93,5294.36,2558.36
2012-02,9995.91,2576.54,5008.63,2410.74
2012-03,10022.99,2748.48,4987.62,2286.9
2012-04,10020.16,2619.31,5015.62,2385.23
2012-05,9936.84,2566.83,4982.88,2387.13
2012-06,9836.78,2465.0,4944.36,2427.42
2012-07,10283.97,2597.93,5045.79,2640.25
2012-08,10209.3,2621.69,5201.19,2386.42
2012-09,10486.35,2798.92,5090.16,2597.26
2012-10,10023.99,2562.64,4943.98,2517.37
2012-11,10365.77,2674.55,5243.92,2447.31
2012-12,10302.89,2110.42,5510.21,2682.25
2013-01,10491.02,2218.52,5450.93,2821.57
2013-02,10591.62,2684.45,5425.1,2482.06
2013-03,10860.3,2731.79,5456.44,2672.06
2013-04,10616.84,2755.66,5387.6,2473.58
2013-05,10303.03,2745.12,5176.17,2381.73
2013-06,10651.53,2681.92,5309.34,2660.27
2013-07,10504.75,2821.29,5079.36,2604.1
2013-08,10505.33,2837.59,5082.23,2585.51
2013-09,10691.14,2897.63,5179.64,2613.87
2013-10,10182.54,2827.22,4996.24,2359.08
2013-11,10669.18,2670.72,5423.82,2574.64
2013-12,10698.84,2192.43,5701.68,2804.74
2014-01,10963.52,2389.65,5682.0,2891.88
2014-02,11072.86,2942.88,5530.16,2599.82
2014-03,11146.34,2985.03,5474.84,2686.48
