ranking,razon_social,ciiu,macrosector,departamento,ingresos_2024_miles,ingresos_2023_miles
1,ECOPETROL S.A,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,BOGOTA D.C.,113923310323,129508676028
2,REFINERIA DE CARTAGENA S.A.,"C1921 - Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles",MANUFACTURA,BOLIVAR,25860914507,32050663229
3,ORGANIZACIÓN TERPEL S.A.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,BOGOTA D.C.,24752011682,23048284871
4,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P. ,D3513- Distribución de energía electrica,SERVICIOS,ANTIOQUIA,20574477180,17783512710
5,D1 S.A.S,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,BOGOTA D.C.,19439396106,17424130562
6,ALMACENES EXITO S A,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,ANTIOQUIA,16077688645,15732183876
7,EMGESA S.A. E.S.P.,"D3514 - Suministro de electricidad, gas, vapor y aire acondicionado",SERVICIOS,BOGOTA D.C.,15780332546,15309024322
8,COMUNICACIÓN CELULAR S.A.,J6120 - Actividades de telecomunicaciones inalámbricas,SERVICIOS,BOGOTA D.C.,15602099799,14854583980
9,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA,H5111 - Transporte aéreo nacional de pasajeros,SERVICIOS,BOGOTA D.C.,15106042448,13575256907
10,JERONIMO MARTINS COLOMBIA SAS,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",COMERCIO,BOGOTA D.C.,13831182682,12352070906
