edad,h_2020,m_2020,h_2023,m_2023,h_2026,m_2026,h_2030,m_2030,h_2050,m_2050
0,385600,366775,375915,357675,361692,344120,335852,319515,226571,215490
1,388121,369027,380514,362017,367778,349820,342193,325454,230751,219386
2,394740,374550,385906,367096,373403,355095,348564,331438,235042,223404
3,398807,380373,392867,373526,378184,359598,354853,337347,239427,227517
4,403410,384285,395204,375642,382832,364005,360992,343120,243904,231716
5,408157,388297,401458,380868,388123,369017,367278,349023,248484,236017
6,412107,392854,405163,386361,394931,375314,372960,354376,253173,240428
7,416315,397419,409401,389941,397171,377348,377780,358912,257973,244942
8,420666,402082,413778,393645,403294,382468,382441,363347,262917,249594
9,425820,406201,417388,397886,406887,387846,387715,368341,268006,254385
10,431052,410601,421257,402144,411009,391334,394469,374584,273258,259332
11,436279,415467,425275,406515,415258,394937,396713,376639,278681,264449
12,441600,420903,430103,410359,418729,399072,402776,381750,284279,269734
13,447356,426638,435000,414511,422439,403227,406325,387106,290032,275181
14,447940,426979,439914,419167,426276,407508,410339,390583,295947,280797
15,447937,426976,444957,424503,430904,411287,414413,394158,301973,286558
16,446762,427522,450524,430291,435612,415437,417666,398252,308104,292443
17,445804,428860,451151,431014,440374,420179,421089,402340,314291,298427
18,445487,430976,451426,431755,445339,425709,424588,406508,320496,304452
19,446912,433894,450794,433353,450857,431733,428831,410143,326675,310488
20,442886,435972,450533,435871,451533,432780,433138,414101,332792,316483
21,439218,437281,450991,439090,451874,433811,437493,418646,338791,322385
22,436031,438068,453034,442867,451309,435600,442065,423972,344634,328163
23,434157,434824,449569,445475,451075,438206,447114,429674,350272,333762
24,433119,432908,446277,447028,451535,441459,447441,430530,355664,339160
25,431879,431515,443257,447747,453406,445156,447466,431406,361085,344598
26,427364,427785,441352,444304,449874,447614,446658,433059,365828,349428
27,418453,421105,440106,442034,446487,448993,446238,435551,369737,353516
28,407931,412136,438526,440167,443378,449462,446618,438755,373441,357454
29,397360,402297,433605,435905,441337,445852,448272,442387,377615,361831
30,386635,392904,424308,428678,439939,443403,444779,444784,383010,367241
31,376292,383185,413395,419172,438178,441319,441461,446123,384503,369015
32,364919,376009,402411,408808,433088,436840,438469,446508,389544,373745
33,357138,369972,391286,398898,423685,429421,436499,442926,392349,378614
34,350210,365689,380512,388699,412699,419747,435167,440490,395558,381782
35,345181,361492,368778,381048,401645,409233,433418,438377,398802,385061
36,341919,360404,360576,374553,390442,399172,428354,433866,401347,388770
37,338315,359418,353245,369818,379579,388851,419034,426427,404089,392503
38,333461,356514,347807,365200,367787,381063,408158,416754,407005,396269
39,328906,351994,344116,363676,359488,374430,397184,406256,410624,399619
40,321673,346019,340077,362261,352045,369536,386057,396185,414360,403293
41,312767,335676,334821,358952,346471,364787,375214,385884,418179,407547
42,301480,326723,329848,354041,342599,363093,363500,378074,422214,412554
43,292226,316187,322232,347697,338368,361475,355181,371405,426358,417466
44,281364,307461,312955,337025,332927,357974,347695,366432,426228,417963
45,274777,300191,301355,327758,327732,352883,342019,361629,425750,418446
46,271066,296447,291755,316934,319904,346337,337983,359788,424524,419637
